"internationaltrackedsmallparcel","International Tracked Small Parcel",WORLD_ZONE_THREE_INTERNATIONAL_TRACKED_SMALL_PARCEL,0,50,50, SMALL
"internationaltrackedsmallparcel","International Tracked Small Parcel",WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250, SMALL
"internationaltrackedsmallparcel","International Tracked Small Parcel",WORLD_ZONE_EU_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250, SMALL
"internationaltrackedsmallparcel","International Tracked Small Parcel",WORLD_ZONE_EU_TWO_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250, SMALL
"internationaltrackedsmallparcel","International Tracked Small Parcel",WORLD_ZONE_EU_THREE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250, SMALL
"internationaltrackedsmallparcel","International Tracked Small Parcel",WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250, SMALL
"internationaltrackedsmallparcel","International Tracked Small Parcel",WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250, SMALL
"internationaltrackedsmallparcel","International Tracked Small Parcel",WORLD_ZONE_THREE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250, SMALL
"internationallettersigned","International Signed Letter",WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LETTER,0,50,50
"internationallettersigned","International Signed Letter",WORLD_ZONE_EU_ONE_INTERNATIONAL_SIGNED_LETTER,0,50,50
"internationallettersigned","International Signed Letter",WORLD_ZONE_EU_TWO_INTERNATIONAL_SIGNED_LETTER,0,50,50
"internationallettersigned","International Signed Letter",WORLD_ZONE_EU_THREE_INTERNATIONAL_SIGNED_LETTER,0,50,50
"internationallettersigned","International Signed Letter",WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LETTER,0,50,50
"internationallettersigned","International Signed Letter",WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LETTER,0,50,50
"internationallettersigned","International Signed Letter",WORLD_ZONE_THREE_INTERNATIONAL_SIGNED_LETTER,0,50,50
"internationallettersigned","International Signed Letter",WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,50.01,250,250
"internationallettersigned","International Signed Letter",WORLD_ZONE_EU_ONE_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,50.01,250,250
"internationallettersigned","International Signed Letter",WORLD_ZONE_EU_TWO_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,50.01,250,250
"internationallettersigned","International Signed Letter",WORLD_ZONE_EU_THREE_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,50.01,250,250
"internationallettersigned","International Signed Letter",WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,50.01,250,250
"internationallettersigned","International Signed Letter",WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,50.01,250,250
