UK_TRACKED_48_WITH_SIGNATURE_SMALL_PARCEL,0,100,100,"Tracked 48 With Signature: Small Parcel",SMALL
UK_TRACKED_48_WITH_SIGNATURE_MEDIUM_PARCEL,0,100,100,"Tracked 48 With Signature: Medium Parcel", MEDIUM

PARCELFORCE_WORLDWIDE_EXPRESS_9,0,200,200,"Parcelforce Worldwide: Express 9"
PARCELFORCE_WORLDWIDE_EXPRESS_10,0,200,200,"Parcelforce Worldwide: Express 10"
PARCELFORCE_WORLDWIDE_EXPRESS_AM,0,200,200,"Parcelforce Worldwide: Express AM"
PARCELFORCE_WORLDWIDE_EXPRESS_24,0,100,100,"Parcelforce Worldwide: Express 24"
PARCELFORCE_WORLDWIDE_EXPRESS_48,0,100,100,"Parcelforce Worldwide: Express 48"
PARCELFORCE_WORLDWIDE_EXPRESS_48_LARGE,0,100,100,"Parcelforce Worldwide: Express 48 Large"
PARCELFORCE_WORLDWIDE_EXPRESS_9_SATURDAY,0,200,200,"Parcelforce Worldwide: Express 9 Saturday"
PARCELFORCE_WORLDWIDE_EXPRESS_10_SATURDAY,0,200,200,"Parcelforce Worldwide: Express 10 Saturday"
PARCELFORCE_WORLDWIDE_EXPRESS_AM_SATURDAY,0,200,200,"Parcelforce Worldwide: Express AM Saturday"
PARCELFORCE_WORLDWIDE_EXPRESS_24_SATURDAY,0,100,100,"Parcelforce Worldwide: Express 24 Saturday"
