WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL,1.001,1.250,23.25,50,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL,1.251,1.500,24.65,50,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL,1.501,1.750,25.65,50,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL,1.751,2.000,25.65,50,

WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_LETTER_EXTRA_INSURANCE,0.001,0.010,8.50,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_LETTER_EXTRA_INSURANCE,0.011,0.020,8.83,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_LETTER_EXTRA_INSURANCE,0.021,0.100,9.75,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_LARGE_LETTER_EXTRA_INSURANCE,0.001,0.100,11.40,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_LARGE_LETTER_EXTRA_INSURANCE,0.101,0.250,12.45,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_LARGE_LETTER_EXTRA_INSURANCE,0.251,0.500,15.30,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_LARGE_LETTER_EXTRA_INSURANCE,0.501,0.750,17.80,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,0.001,0.100,11.30,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,0.101,0.250,12.25,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,0.251,0.500,14.95,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,0.501,0.750,17.05,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,0.751,1.000,19.70,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,1.001,1.250,21.40,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,1.251,1.500,23.10,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,1.501,1.750,24.05,250,
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,1.751,2.000,25.75,250,

WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LETTER,0.001,0.010,6.85,50,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LETTER,0.011,0.020,6.85,50,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LETTER,0.020,0.100,7.85,50,

WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER,0.001,0.100,9.70,50,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER,0.101,0.250,10.50,50,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER,0.251,0.500,12.30,50,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER,0.501,0.750,14.15,50,

WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL,0.001,0.100,12.00,50,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL,0.101,0.250,12.95,50,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL,0.251,0.500,16.60,50,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL,0.501,0.750,19.00,50,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL,0.751,1.000,21.65,50,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL,1.001,1.250,23.50,50,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL,1.251,1.500,24.90,50,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL,1.501,1.750,25.35,50,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL,1.751,2.000,25.35,50,

WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,0.001,0.010,8.50,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,0.011,0.020,8.83,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,0.020,0.100,9.75,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,0.001,0.100,11.30,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,0.101,0.250,12.05,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,0.251,0.500,14.85,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,0.501,0.750,16.95,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,0.001,0.100,11.30,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,0.101,0.250,12.25,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,0.251,0.500,14.95,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,0.501,0.750,17.05,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,0.751,1.000,19.70,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,1.001,1.250,21.40,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,1.251,1.500,23.10,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,1.501,1.750,24.04,250,
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,1.751,2.000,25.75,250,


WORLD_ZONE_TWO_INTERNATIONAL_STANDARD_LETTER,0.001,0.010,1.70,20,
WORLD_ZONE_TWO_INTERNATIONAL_STANDARD_LETTER,0.011,0.020,1.70,20,
